,neigh,gentri,conteo,percentage
0,Airport,LI - Not Losing Low Income Households,7,0.5
1,Airport,MHI - At Risk of Exclusion,2,0.14285714285714285
2,Airport,MHI - Not Losing Low Income Households,5,0.35714285714285715
3,Allerton-Pelham Gardens,LI - At Risk of Gentrification and/or Displacement,1,0.043478260869565216
4,Allerton-Pelham Gardens,LI - Not Losing Low Income Households,3,0.13043478260869565
5,Allerton-Pelham Gardens,MHI - Advanced Exclusion,6,0.2608695652173913
6,Allerton-Pelham Gardens,MHI - Advanced Gentrification,2,0.08695652173913043
7,Allerton-Pelham Gardens,MHI - Not Losing Low Income Households,9,0.391304347826087
8,Allerton-Pelham Gardens,MHI - Ongoing Exclusion,2,0.08695652173913043
9,Annadale-Huguenot-Prince's Bay-Eltingville,LI - Not Losing Low Income Households,4,0.21052631578947367
10,Annadale-Huguenot-Prince's Bay-Eltingville,MHI - Advanced Exclusion,5,0.2631578947368421
11,Annadale-Huguenot-Prince's Bay-Eltingville,MHI - Not Losing Low Income Households,10,0.5263157894736842
12,Arden Heights,LI - Not Losing Low Income Households,1,0.1111111111111111
13,Arden Heights,MHI - Advanced Exclusion,1,0.1111111111111111
14,Arden Heights,MHI - Not Losing Low Income Households,7,0.7777777777777778
15,Astoria,LI - At Risk of Gentrification and/or Displacement,3,0.07142857142857142
16,Astoria,LI - Not Losing Low Income Households,3,0.07142857142857142
17,Astoria,LI - Ongoing Gentrification and/or Displacement,16,0.38095238095238093
18,Astoria,MHI - Advanced Exclusion,2,0.047619047619047616
19,Astoria,MHI - Advanced Gentrification,13,0.30952380952380953
20,Astoria,MHI - At Risk of Exclusion,1,0.023809523809523808
21,Astoria,MHI - Not Losing Low Income Households,4,0.09523809523809523
22,Auburndale,LI - At Risk of Gentrification and/or Displacement,1,0.041666666666666664
23,Auburndale,LI - Not Losing Low Income Households,4,0.16666666666666666
24,Auburndale,MHI - Advanced Exclusion,7,0.2916666666666667
25,Auburndale,MHI - At Risk of Exclusion,2,0.08333333333333333
26,Auburndale,MHI - Not Losing Low Income Households,7,0.2916666666666667
27,Auburndale,MHI - Ongoing Exclusion,3,0.125
